,date,In DATE: The nutritionist explained to someone that it was MASK belief that diet and exercise were equally important.
0,1901,10.7
1,1904,10.9
2,1908,12.7
3,1912,15.8
4,1916,15.4
5,1920,15.9
6,1924,15.2
7,1928,16.6
8,1932,17.7
9,1936,20.1
10,1940,22.3
11,1944,21.9
12,1948,25.3
13,1952,24.3
14,1956,24.1
15,1960,27.2
16,1964,25.8
17,1968,26.9
18,1972,27.4
19,1976,27.3
20,1980,32.8
21,1984,34.1
22,1988,35.7
23,1992,35.3
24,1996,36.7
25,2000,37.2
26,2004,37.5
27,2008,39.9
28,2012,41.6
29,2016,43.1
