,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,0.0
1,1904,0.0
2,1908,0.0
3,1912,0.0
4,1916,0.0
5,1920,0.0
6,1924,0.0
7,1928,0.0
8,1932,17.5
9,1936,18.9
10,1940,19.9
11,1944,20.0
12,1948,21.3
13,1952,18.6
14,1956,19.6
15,1960,18.9
16,1964,18.8
17,1968,18.8
18,1972,19.7
19,1976,20.5
20,1980,23.3
21,1984,27.1
22,1988,27.9
23,1992,28.0
24,1996,30.7
25,2000,29.9
26,2004,31.7
27,2008,33.8
28,2012,36.7
29,2016,42.6
