,date,In DATE: The painter sold an entire collection of paintings to someone because MASK made an offer that was hard to refuse.
0,1901,14.4
1,1904,12.7
2,1908,14.0
3,1912,15.1
4,1916,16.0
5,1920,14.2
6,1924,15.3
7,1928,14.4
8,1932,15.3
9,1936,16.8
10,1940,17.6
11,1944,18.0
12,1948,18.4
13,1952,18.2
14,1956,18.9
15,1960,18.3
16,1964,19.4
17,1968,18.9
18,1972,20.2
19,1976,20.1
20,1980,21.4
21,1984,21.6
22,1988,22.6
23,1992,23.8
24,1996,24.5
25,2000,22.5
26,2004,25.4
27,2008,26.2
28,2012,25.7
29,2016,27.7
