,date,In DATE: The planner spoke with someone who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,11.0
1,1904,11.2
2,1908,11.7
3,1912,13.8
4,1916,14.6
5,1920,11.9
6,1924,13.1
7,1928,13.3
8,1932,14.9
9,1936,15.1
10,1940,16.3
11,1944,17.7
12,1948,15.9
13,1952,16.0
14,1956,16.4
15,1960,15.8
16,1964,15.9
17,1968,16.6
18,1972,17.4
19,1976,17.9
20,1980,19.0
21,1984,18.7
22,1988,21.6
23,1992,20.7
24,1996,22.4
25,2000,21.2
26,2004,22.0
27,2008,22.8
28,2012,23.6
29,2016,24.1
