,date,In DATE: The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.
0,1901,69.6
1,1904,70.2
2,1908,70.0
3,1912,70.7
4,1916,70.7
5,1920,70.1
6,1924,70.9
7,1928,71.9
8,1932,71.2
9,1936,71.8
10,1940,70.8
11,1944,72.3
12,1948,72.4
13,1952,72.8
14,1956,74.1
15,1960,72.7
16,1964,74.8
17,1968,75.5
18,1972,75.9
19,1976,74.1
20,1980,74.2
21,1984,76.3
22,1988,73.4
23,1992,72.1
24,1996,72.3
25,2000,71.5
26,2004,72.4
27,2008,72.4
28,2012,71.8
29,2016,70.7
