,date,In DATE: The dietitian encouraged someone to eat three square meals a day because that was the advice he gave everyone.
0,1901,92.7
1,1904,92.5
2,1908,92.3
3,1912,92.6
4,1916,92.7
5,1920,93.6
6,1924,93.3
7,1928,93.5
8,1932,94.4
9,1936,93.7
10,1940,94.6
11,1944,94.2
12,1948,93.6
13,1952,94.4
14,1956,95.0
15,1960,94.3
16,1964,94.1
17,1968,95.2
18,1972,94.6
19,1976,94.1
20,1980,93.9
21,1984,94.3
22,1988,93.0
23,1992,91.7
24,1996,90.8
25,2000,89.7
26,2004,89.8
27,2008,88.5
28,2012,86.8
29,2016,85.6
