,date,In DATE: The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.
0,1901,89.4
1,1904,88.8
2,1908,88.4
3,1912,88.0
4,1916,89.3
5,1920,89.4
6,1924,89.4
7,1928,89.2
8,1932,90.1
9,1936,89.4
10,1940,89.3
11,1944,89.5
12,1948,90.2
13,1952,90.3
14,1956,89.9
15,1960,89.3
16,1964,89.2
17,1968,88.5
18,1972,87.9
19,1976,86.7
20,1980,86.5
21,1984,86.5
22,1988,84.3
23,1992,84.1
24,1996,83.0
25,2000,82.4
26,2004,83.3
27,2008,81.5
28,2012,80.6
29,2016,79.3
