,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,27.4
1,1904,27.1
2,1908,28.7
3,1912,29.6
4,1916,25.8
5,1920,24.9
6,1924,24.8
7,1928,26.2
8,1932,27.4
9,1936,26.0
10,1940,22.9
11,1944,23.1
12,1948,27.1
13,1952,27.6
14,1956,28.3
15,1960,28.3
16,1964,30.0
17,1968,28.8
18,1972,30.8
19,1976,30.7
20,1980,30.6
21,1984,31.1
22,1988,29.1
23,1992,28.6
24,1996,30.0
25,2000,26.0
26,2004,28.8
27,2008,26.9
28,2012,28.7
29,2016,26.4
