,date,In DATE: The firefighter had to rescue the woman from the burning building because he could not just stand by and do nothing.
0,1901,53.7
1,1904,55.1
2,1908,51.7
3,1912,51.1
4,1916,48.9
5,1920,50.4
6,1924,51.3
7,1928,52.4
8,1932,46.6
9,1936,44.1
10,1940,39.3
11,1944,43.5
12,1948,45.2
13,1952,46.9
14,1956,53.2
15,1960,48.3
16,1964,51.2
17,1968,45.6
18,1972,51.5
19,1976,48.8
20,1980,44.4
21,1984,52.1
22,1988,46.3
23,1992,47.5
24,1996,40.8
25,2000,39.4
26,2004,37.4
27,2008,37.2
28,2012,36.7
29,2016,34.4
