,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,72.6
1,1904,71.7
2,1908,71.9
3,1912,71.4
4,1916,71.6
5,1920,73.5
6,1924,73.4
7,1928,74.2
8,1932,74.8
9,1936,74.0
10,1940,72.5
11,1944,74.3
12,1948,75.7
13,1952,76.6
14,1956,78.8
15,1960,76.7
16,1964,77.2
17,1968,78.6
18,1972,78.3
19,1976,76.6
20,1980,76.9
21,1984,78.2
22,1988,75.4
23,1992,74.9
24,1996,74.6
25,2000,73.3
26,2004,72.8
27,2008,70.8
28,2012,69.9
29,2016,68.1
