,date,In DATE: The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.
0,1901,90.8
1,1904,89.9
2,1908,89.7
3,1912,89.0
4,1916,87.9
5,1920,89.6
6,1924,89.8
7,1928,89.2
8,1932,88.9
9,1936,88.9
10,1940,88.9
11,1944,88.9
12,1948,90.2
13,1952,89.2
14,1956,90.0
15,1960,89.8
16,1964,88.9
17,1968,89.5
18,1972,88.6
19,1976,88.5
20,1980,88.3
21,1984,87.7
22,1988,86.8
23,1992,86.1
24,1996,85.5
25,2000,84.7
26,2004,84.0
27,2008,83.3
28,2012,81.8
29,2016,80.0
