,date,In DATE: The painter sold an entire collection of paintings to the woman because he made an offer that was hard to refuse.
0,1901,32.0
1,1904,31.0
2,1908,30.4
3,1912,30.1
4,1916,31.0
5,1920,29.9
6,1924,29.6
7,1928,29.9
8,1932,28.8
9,1936,29.8
10,1940,29.3
11,1944,28.7
12,1948,30.4
13,1952,29.6
14,1956,31.1
15,1960,31.1
16,1964,30.9
17,1968,30.6
18,1972,30.3
19,1976,30.8
20,1980,29.8
21,1984,29.9
22,1988,29.4
23,1992,30.8
24,1996,29.9
25,2000,31.8
26,2004,31.8
27,2008,30.7
28,2012,30.5
29,2016,31.7
