,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,29.8
1,1904,29.6
2,1908,30.4
3,1912,34.2
4,1916,27.5
5,1920,35.3
6,1924,34.9
7,1928,32.1
8,1932,30.9
9,1936,30.9
10,1940,31.7
11,1944,33.1
12,1948,28.9
13,1952,30.9
14,1956,31.9
15,1960,30.0
16,1964,29.3
17,1968,29.8
18,1972,26.7
19,1976,26.9
20,1980,26.3
21,1984,26.2
22,1988,23.7
23,1992,22.7
24,1996,20.7
25,2000,20.7
26,2004,18.7
27,2008,18.9
28,2012,19.3
29,2016,18.5
