,date,In DATE: The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.
0,1901,72.5
1,1904,71.4
2,1908,71.5
3,1912,70.9
4,1916,73.0
5,1920,72.3
6,1924,71.5
7,1928,71.6
8,1932,72.2
9,1936,71.1
10,1940,71.1
11,1944,71.6
12,1948,69.4
13,1952,70.6
14,1956,71.2
15,1960,70.1
16,1964,70.7
17,1968,71.0
18,1972,70.5
19,1976,69.0
20,1980,68.9
21,1984,69.7
22,1988,66.8
23,1992,65.9
24,1996,65.8
25,2000,64.7
26,2004,66.5
27,2008,65.0
28,2012,65.3
29,2016,64.8
