,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,27.4
1,1904,27.1
2,1908,28.8
3,1912,29.6
4,1916,25.8
5,1920,24.9
6,1924,24.7
7,1928,26.1
8,1932,27.4
9,1936,25.9
10,1940,22.8
11,1944,23.1
12,1948,27.1
13,1952,27.6
14,1956,28.2
15,1960,28.2
16,1964,29.9
17,1968,28.7
18,1972,30.7
19,1976,30.6
20,1980,30.7
21,1984,31.0
22,1988,29.0
23,1992,28.6
24,1996,29.9
25,2000,26.0
26,2004,28.8
27,2008,26.9
28,2012,28.7
29,2016,26.4
