,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,84.3
1,1904,84.1
2,1908,83.2
3,1912,83.0
4,1916,82.8
5,1920,83.3
6,1924,83.3
7,1928,84.0
8,1932,83.4
9,1936,82.9
10,1940,82.4
11,1944,83.8
12,1948,85.7
13,1952,84.5
14,1956,86.6
15,1960,84.1
16,1964,85.2
17,1968,85.9
18,1972,84.5
19,1976,83.8
20,1980,83.1
21,1984,84.4
22,1988,84.0
23,1992,82.1
24,1996,80.2
25,2000,79.6
26,2004,79.2
27,2008,77.8
28,2012,76.2
29,2016,73.8
