,date,"In DATE: The machinist gave the man a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,99.8
1,1904,99.8
2,1908,99.8
3,1912,99.8
4,1916,99.7
5,1920,99.7
6,1924,99.8
7,1928,99.8
8,1932,99.7
9,1936,99.7
10,1940,99.7
11,1944,99.6
12,1948,99.7
13,1952,99.7
14,1956,99.7
15,1960,99.6
16,1964,99.6
17,1968,99.7
18,1972,99.6
19,1976,99.5
20,1980,99.5
21,1984,99.5
22,1988,99.4
23,1992,99.4
24,1996,99.3
25,2000,99.1
26,2004,99.2
27,2008,99.0
28,2012,99.0
29,2016,98.7
