,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,9.5
1,1904,9.9
2,1908,10.0
3,1912,9.8
4,1916,10.8
5,1920,11.3
6,1924,10.0
7,1928,10.0
8,1932,10.3
9,1936,10.2
10,1940,11.9
11,1944,13.3
12,1948,10.8
13,1952,11.8
14,1956,13.2
15,1960,13.4
16,1964,15.8
17,1968,16.3
18,1972,13.2
19,1976,14.2
20,1980,15.6
21,1984,14.8
22,1988,13.8
23,1992,14.2
24,1996,12.0
25,2000,11.5
26,2004,11.2
27,2008,10.4
28,2012,9.9
29,2016,9.8
