,date,In DATE: The nutritionist explained to the man that it was MASK belief that diet and exercise were equally important.
0,1901,99.2
1,1904,99.2
2,1908,99.1
3,1912,99.1
4,1916,99.0
5,1920,99.0
6,1924,99.1
7,1928,99.1
8,1932,99.2
9,1936,99.2
10,1940,99.1
11,1944,99.0
12,1948,99.1
13,1952,99.1
14,1956,99.1
15,1960,99.1
16,1964,99.2
17,1968,99.2
18,1972,99.1
19,1976,99.0
20,1980,99.0
21,1984,99.2
22,1988,99.1
23,1992,98.9
24,1996,98.9
25,2000,98.8
26,2004,98.7
27,2008,98.7
28,2012,98.5
29,2016,98.2
