,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,89.9
1,1904,100.0
2,1908,89.4
3,1912,88.6
4,1916,90.4
5,1920,88.1
6,1924,89.0
7,1928,89.4
8,1932,88.9
9,1936,89.3
10,1940,89.2
11,1944,89.4
12,1948,87.6
13,1952,88.4
14,1956,90.0
15,1960,89.2
16,1964,89.8
17,1968,90.5
18,1972,89.6
19,1976,87.9
20,1980,86.6
21,1984,88.0
22,1988,85.8
23,1992,84.3
24,1996,82.7
25,2000,81.4
26,2004,81.0
27,2008,80.7
28,2012,77.7
29,2016,76.7
