,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,29.7
1,1904,29.6
2,1908,30.2
3,1912,34.3
4,1916,27.4
5,1920,35.1
6,1924,35.0
7,1928,32.3
8,1932,31.0
9,1936,31.1
10,1940,31.5
11,1944,33.1
12,1948,29.0
13,1952,30.7
14,1956,32.0
15,1960,30.0
16,1964,29.2
17,1968,29.7
18,1972,26.6
19,1976,26.8
20,1980,26.1
21,1984,26.3
22,1988,23.7
23,1992,22.8
24,1996,20.7
25,2000,20.9
26,2004,18.8
27,2008,19.0
28,2012,19.3
29,2016,18.4
