,date,In DATE: The carpenter told someone that he needed to stand at least thirty feet from the building site.
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,99.2
9,1936,100.0
10,1940,100.0
11,1944,98.9
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,100.0
16,1964,99.0
17,1968,99.0
18,1972,99.0
19,1976,98.9
20,1980,99.0
21,1984,98.9
22,1988,99.0
23,1992,98.9
24,1996,98.8
25,2000,98.7
26,2004,98.8
27,2008,98.8
28,2012,98.8
29,2016,98.6
