,date,In DATE: The dietitian encouraged someone to eat three square meals a day because that was the advice he gave everyone.
0,1901,99.5
1,1904,99.6
2,1908,99.7
3,1912,99.6
4,1916,99.6
5,1920,99.4
6,1924,99.6
7,1928,99.6
8,1932,99.6
9,1936,99.6
10,1940,99.5
11,1944,99.6
12,1948,99.4
13,1952,99.3
14,1956,99.5
15,1960,99.4
16,1964,99.3
17,1968,99.3
18,1972,99.1
19,1976,99.0
20,1980,98.9
21,1984,99.0
22,1988,99.1
23,1992,99.0
24,1996,98.4
25,2000,98.7
26,2004,98.3
27,2008,98.0
28,2012,96.3
29,2016,95.6
