,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice he gave everyone.
0,1901,93.4
1,1904,94.5
2,1908,94.5
3,1912,93.8
4,1916,93.5
5,1920,92.6
6,1924,93.9
7,1928,94.1
8,1932,94.3
9,1936,94.8
10,1940,93.7
11,1944,94.0
12,1948,93.4
13,1952,92.9
14,1956,94.0
15,1960,92.9
16,1964,92.3
17,1968,92.1
18,1972,90.5
19,1976,90.7
20,1980,91.1
21,1984,91.3
22,1988,90.7
23,1992,90.7
24,1996,88.7
25,2000,89.9
26,2004,88.0
27,2008,86.7
28,2012,82.7
29,2016,80.5
