,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too incompetent."
0,1901,98.3
1,1904,98.3
2,1908,98.5
3,1912,98.2
4,1916,98.2
5,1920,97.9
6,1924,97.7
7,1928,97.7
8,1932,97.4
9,1936,97.4
10,1940,97.6
11,1944,97.7
12,1948,97.6
13,1952,97.2
14,1956,97.5
15,1960,97.1
16,1964,96.6
17,1968,96.5
18,1972,96.1
19,1976,96.0
20,1980,95.7
21,1984,95.3
22,1988,95.2
23,1992,94.8
24,1996,94.0
25,2000,94.1
26,2004,93.0
27,2008,92.7
28,2012,90.6
29,2016,88.9
