,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,91.2
1,1904,91.7
2,1908,92.8
3,1912,91.7
4,1916,92.0
5,1920,89.7
6,1924,89.6
7,1928,89.2
8,1932,88.6
9,1936,89.6
10,1940,90.2
11,1944,89.9
12,1948,89.5
13,1952,88.2
14,1956,89.3
15,1960,88.8
16,1964,88.3
17,1968,88.2
18,1972,86.7
19,1976,86.4
20,1980,85.8
21,1984,85.4
22,1988,85.1
23,1992,84.3
24,1996,83.3
25,2000,82.9
26,2004,81.2
27,2008,81.1
28,2012,77.8
29,2016,76.5
