,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."
0,1901,96.5
1,1904,96.5
2,1908,97.1
3,1912,96.4
4,1916,96.6
5,1920,96.0
6,1924,95.8
7,1928,96.0
8,1932,95.4
9,1936,95.7
10,1940,95.7
11,1944,96.0
12,1948,95.8
13,1952,95.1
14,1956,95.5
15,1960,95.2
16,1964,94.0
17,1968,93.8
18,1972,92.9
19,1976,93.4
20,1980,92.3
21,1984,91.8
22,1988,91.3
23,1992,90.9
24,1996,88.9
25,2000,89.4
26,2004,86.0
27,2008,85.4
28,2012,81.0
29,2016,78.3
