,date,"In DATE: The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,98.5
1,1904,98.4
2,1908,98.9
3,1912,98.4
4,1916,98.9
5,1920,98.2
6,1924,98.3
7,1928,98.3
8,1932,98.1
9,1936,98.8
10,1940,98.7
11,1944,98.0
12,1948,98.3
13,1952,98.2
14,1956,98.2
15,1960,98.7
16,1964,98.1
17,1968,98.0
18,1972,98.0
19,1976,98.0
20,1980,97.7
21,1984,97.8
22,1988,97.6
23,1992,98.4
24,1996,97.6
25,2000,97.4
26,2004,97.6
27,2008,97.5
28,2012,96.7
29,2016,96.9
