,date,In DATE: The nutritionist explained to the man that it was his belief that diet and exercise were equally important.
0,1901,95.5
1,1904,95.5
2,1908,95.8
3,1912,95.0
4,1916,94.9
5,1920,94.2
6,1924,94.6
7,1928,94.5
8,1932,94.5
9,1936,94.9
10,1940,94.8
11,1944,94.5
12,1948,94.5
13,1952,93.8
14,1956,94.5
15,1960,93.7
16,1964,92.8
17,1968,93.0
18,1972,92.2
19,1976,91.9
20,1980,91.1
21,1984,92.8
22,1988,91.6
23,1992,92.5
24,1996,91.2
25,2000,91.1
26,2004,91.5
27,2008,89.9
28,2012,90.3
29,2016,89.8
