,date,In DATE: The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.
0,1901,93.0
1,1904,92.6
2,1908,93.4
3,1912,92.6
4,1916,92.7
5,1920,92.2
6,1924,92.5
7,1928,92.4
8,1932,93.4
9,1936,93.2
10,1940,92.8
11,1944,92.4
12,1948,93.0
13,1952,92.9
14,1956,93.0
15,1960,92.4
16,1964,91.9
17,1968,92.1
18,1972,92.2
19,1976,91.6
20,1980,91.6
21,1984,91.7
22,1988,91.6
23,1992,91.3
24,1996,90.6
25,2000,90.3
26,2004,90.1
27,2008,90.2
28,2012,88.9
29,2016,88.7
