,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,73.7
1,1904,71.1
2,1908,73.2
3,1912,73.9
4,1916,72.5
5,1920,75.1
6,1924,75.9
7,1928,75.4
8,1932,72.6
9,1936,76.0
10,1940,74.8
11,1944,76.0
12,1948,78.7
13,1952,77.6
14,1956,75.1
15,1960,76.2
16,1964,75.1
17,1968,75.2
18,1972,74.3
19,1976,73.5
20,1980,72.1
21,1984,72.2
22,1988,71.8
23,1992,69.8
24,1996,66.8
25,2000,58.7
26,2004,58.4
27,2008,51.2
28,2012,49.4
29,2016,45.7
