,date,In DATE: The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.
0,1901,91.7
1,1904,92.3
2,1908,92.3
3,1912,91.3
4,1916,91.2
5,1920,89.4
6,1924,89.8
7,1928,89.2
8,1932,90.4
9,1936,89.5
10,1940,88.9
11,1944,88.3
12,1948,84.8
13,1952,83.2
14,1956,84.0
15,1960,85.0
16,1964,81.7
17,1968,81.1
18,1972,79.4
19,1976,80.0
20,1980,78.1
21,1984,79.2
22,1988,78.1
23,1992,78.6
24,1996,75.9
25,2000,79.3
26,2004,78.1
27,2008,73.4
28,2012,71.3
29,2016,70.2
