,date,In DATE: The chemist told the visitor that MASK would need to put on safety glasses before entering the laboratory.
0,1901,98.0
1,1904,98.0
2,1908,98.3
3,1912,97.8
4,1916,97.8
5,1920,97.8
6,1924,97.8
7,1928,97.7
8,1932,97.6
9,1936,97.6
10,1940,97.3
11,1944,97.4
12,1948,97.3
13,1952,96.9
14,1956,97.4
15,1960,97.2
16,1964,96.8
17,1968,96.8
18,1972,96.4
19,1976,96.3
20,1980,96.1
21,1984,95.8
22,1988,95.8
23,1992,95.6
24,1996,95.2
25,2000,95.0
26,2004,94.2
27,2008,94.8
28,2012,94.4
29,2016,94.0
