,date,In DATE: The bystander called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
0,1901,93.0
1,1904,93.6
2,1908,94.1
3,1912,94.0
4,1916,94.8
5,1920,92.9
6,1924,93.6
7,1928,93.9
8,1932,94.5
9,1936,94.9
10,1940,94.5
11,1944,94.2
12,1948,93.9
13,1952,94.1
14,1956,94.7
15,1960,94.1
16,1964,94.3
17,1968,94.6
18,1972,94.8
19,1976,94.5
20,1980,94.8
21,1984,95.3
22,1988,95.5
23,1992,95.3
24,1996,95.3
25,2000,95.4
26,2004,95.5
27,2008,95.5
28,2012,94.9
29,2016,94.6
