,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,78.5
1,1904,78.2
2,1908,81.4
3,1912,79.3
4,1916,80.7
5,1920,76.4
6,1924,77.3
7,1928,76.6
8,1932,75.7
9,1936,77.3
10,1940,76.6
11,1944,77.0
12,1948,76.2
13,1952,73.9
14,1956,75.5
15,1960,75.2
16,1964,73.3
17,1968,72.7
18,1972,70.6
19,1976,70.5
20,1980,69.3
21,1984,68.2
22,1988,68.1
23,1992,68.1
24,1996,63.8
25,2000,66.3
26,2004,61.3
27,2008,61.8
28,2012,57.5
29,2016,55.6
