,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK had to shut down the gallery.
0,1901,11.5
1,1904,11.6
2,1908,12.1
3,1912,13.3
4,1916,14.7
5,1920,13.1
6,1924,14.1
7,1928,13.2
8,1932,14.3
9,1936,14.7
10,1940,15.3
11,1944,13.8
12,1948,15.5
13,1952,13.1
14,1956,13.8
15,1960,13.6
16,1964,14.9
17,1968,13.6
18,1972,12.9
19,1976,12.5
20,1980,12.1
21,1984,13.0
22,1988,12.1
23,1992,12.4
24,1996,13.0
25,2000,12.2
26,2004,12.6
27,2008,13.1
28,2012,13.0
29,2016,14.7
