,date,In DATE: The dietitian encouraged the client to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,73.1
1,1904,73.7
2,1908,74.0
3,1912,72.0
4,1916,70.9
5,1920,72.2
6,1924,73.3
7,1928,73.8
8,1932,73.7
9,1936,74.7
10,1940,71.9
11,1944,73.1
12,1948,72.3
13,1952,71.3
14,1956,72.3
15,1960,68.6
16,1964,70.4
17,1968,68.8
18,1972,68.4
19,1976,68.1
20,1980,63.6
21,1984,64.0
22,1988,61.3
23,1992,62.5
24,1996,61.0
25,2000,58.6
26,2004,56.5
27,2008,56.5
28,2012,54.0
29,2016,51.1
