,date,In DATE: The dietitian encouraged the man to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,92.9
1,1904,92.6
2,1908,93.2
3,1912,92.7
4,1916,91.7
5,1920,92.6
6,1924,93.4
7,1928,93.6
8,1932,92.4
9,1936,92.8
10,1940,91.4
11,1944,91.8
12,1948,92.4
13,1952,91.7
14,1956,91.9
15,1960,89.9
16,1964,90.8
17,1968,90.5
18,1972,89.6
19,1976,89.5
20,1980,87.2
21,1984,87.7
22,1988,86.3
23,1992,86.2
24,1996,85.6
25,2000,84.9
26,2004,83.9
27,2008,84.5
28,2012,84.2
29,2016,82.7
