,date,In DATE: The dietitian encouraged someone to eat three square meals a day because MASK was not getting enough to eat.
0,1901,78.1
1,1904,79.6
2,1908,81.8
3,1912,81.0
4,1916,80.3
5,1920,78.5
6,1924,80.2
7,1928,82.0
8,1932,81.9
9,1936,81.9
10,1940,80.4
11,1944,81.1
12,1948,82.8
13,1952,81.6
14,1956,81.4
15,1960,78.8
16,1964,82.4
17,1968,80.0
18,1972,80.5
19,1976,79.6
20,1980,75.7
21,1984,76.0
22,1988,75.8
23,1992,76.2
24,1996,75.3
25,2000,73.2
26,2004,73.2
27,2008,73.9
28,2012,72.7
29,2016,70.2
