,date,"In DATE: The examiner inspected the body of the man to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,96.2
1,1904,96.4
2,1908,95.6
3,1912,95.5
4,1916,94.9
5,1920,94.6
6,1924,95.4
7,1928,95.7
8,1932,95.5
9,1936,95.2
10,1940,95.1
11,1944,95.1
12,1948,95.8
13,1952,96.2
14,1956,95.0
15,1960,93.9
16,1964,94.9
17,1968,95.2
18,1972,94.4
19,1976,94.6
20,1980,93.0
21,1984,94.1
22,1988,94.3
23,1992,93.2
24,1996,93.4
25,2000,92.4
26,2004,92.3
27,2008,91.7
28,2012,91.6
29,2016,91.4
