,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,92.7
1,1904,92.5
2,1908,92.8
3,1912,92.5
4,1916,92.6
5,1920,92.4
6,1924,92.6
7,1928,92.8
8,1932,92.7
9,1936,93.0
10,1940,92.5
11,1944,92.4
12,1948,92.6
13,1952,92.4
14,1956,92.7
15,1960,92.1
16,1964,92.2
17,1968,92.2
18,1972,92.1
19,1976,92.4
20,1980,91.5
21,1984,92.0
22,1988,91.6
23,1992,91.6
24,1996,91.7
25,2000,91.4
26,2004,91.3
27,2008,91.5
28,2012,91.5
29,2016,91.3
