,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,93.5
1,1904,93.7
2,1908,93.2
3,1912,93.2
4,1916,92.4
5,1920,91.6
6,1924,93.0
7,1928,93.2
8,1932,93.2
9,1936,92.7
10,1940,92.4
11,1944,92.5
12,1948,92.9
13,1952,92.9
14,1956,92.1
15,1960,91.4
16,1964,91.9
17,1968,91.9
18,1972,91.7
19,1976,91.9
20,1980,90.1
21,1984,90.9
22,1988,90.4
23,1992,90.3
24,1996,90.3
25,2000,88.6
26,2004,88.9
27,2008,88.5
28,2012,87.9
29,2016,87.6
