,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,79.0
1,1904,80.4
2,1908,78.8
3,1912,78.9
4,1916,80.4
5,1920,77.7
6,1924,79.3
7,1928,81.7
8,1932,80.5
9,1936,79.7
10,1940,81.2
11,1944,81.6
12,1948,80.1
13,1952,79.7
14,1956,80.9
15,1960,78.8
16,1964,80.1
17,1968,80.3
18,1972,79.6
19,1976,78.9
20,1980,78.0
21,1984,78.6
22,1988,77.8
23,1992,77.3
24,1996,77.2
25,2000,75.4
26,2004,77.3
27,2008,77.4
28,2012,76.3
29,2016,76.0
