,date,In DATE: The firefighter had to rescue the child from the burning building because MASK could not just stand by and do nothing.
0,1901,90.4
1,1904,89.9
2,1908,88.9
3,1912,89.1
4,1916,88.6
5,1920,85.0
6,1924,89.1
7,1928,89.4
8,1932,89.5
9,1936,89.2
10,1940,88.9
11,1944,89.8
12,1948,89.0
13,1952,89.8
14,1956,85.4
15,1960,82.9
16,1964,87.8
17,1968,88.5
18,1972,88.2
19,1976,86.3
20,1980,82.4
21,1984,87.0
22,1988,86.3
23,1992,86.2
24,1996,86.0
25,2000,83.5
26,2004,85.2
27,2008,83.0
28,2012,82.0
29,2016,84.2
