,date,In DATE: The firefighter had to rescue the man from the burning building because MASK could not just stand by and do nothing.
0,1901,98.4
1,1904,98.0
2,1908,97.8
3,1912,97.9
4,1916,97.6
5,1920,97.7
6,1924,97.8
7,1928,98.1
8,1932,98.0
9,1936,97.9
10,1940,97.6
11,1944,97.9
12,1948,97.9
13,1952,98.2
14,1956,97.3
15,1960,97.0
16,1964,97.3
17,1968,97.8
18,1972,97.2
19,1976,97.1
20,1980,96.4
21,1984,97.3
22,1988,97.4
23,1992,96.6
24,1996,96.5
25,2000,96.4
26,2004,96.3
27,2008,95.9
28,2012,95.9
29,2016,96.0
