,date,In DATE: The firefighter had to rescue the woman from the burning building because MASK could not just stand by and do nothing.
0,1901,37.7
1,1904,37.8
2,1908,36.9
3,1912,37.6
4,1916,40.6
5,1920,36.8
6,1924,38.9
7,1928,38.1
8,1932,38.0
9,1936,38.3
10,1940,38.6
11,1944,42.0
12,1948,39.3
13,1952,41.5
14,1956,40.5
15,1960,38.3
16,1964,37.8
17,1968,39.5
18,1972,40.0
19,1976,37.7
20,1980,36.4
21,1984,37.6
22,1988,37.9
23,1992,37.8
24,1996,39.0
25,2000,35.0
26,2004,36.8
27,2008,35.1
28,2012,34.0
29,2016,35.5
