,date,"In DATE: The janitor warned the man not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,98.8
1,1904,98.8
2,1908,98.9
3,1912,98.9
4,1916,98.8
5,1920,98.8
6,1924,98.9
7,1928,98.9
8,1932,98.8
9,1936,98.9
10,1940,98.7
11,1944,98.6
12,1948,98.9
13,1952,98.7
14,1956,98.9
15,1960,98.7
16,1964,98.8
17,1968,98.8
18,1972,98.7
19,1976,98.7
20,1980,98.4
21,1984,98.4
22,1988,98.3
23,1992,98.2
24,1996,98.4
25,2000,98.4
26,2004,98.3
27,2008,98.4
28,2012,98.4
29,2016,98.4
