,date,"In DATE: The janitor warned the man not to step on the wet floor, otherwise MASK might fall and get hurt."
0,1901,99.8
1,1904,99.8
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,99.8
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,100.0
16,1964,100.0
17,1968,100.0
18,1972,100.0
19,1976,100.0
20,1980,100.0
21,1984,99.8
22,1988,99.8
23,1992,99.8
24,1996,99.8
25,2000,99.8
26,2004,99.8
27,2008,99.8
28,2012,99.8
29,2016,99.8
