,date,"In DATE: The machinist gave the man a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,98.5
1,1904,98.6
2,1908,98.8
3,1912,98.6
4,1916,98.4
5,1920,98.4
6,1924,98.6
7,1928,98.6
8,1932,98.6
9,1936,98.8
10,1940,98.4
11,1944,98.3
12,1948,98.7
13,1952,98.5
14,1956,98.6
15,1960,98.4
16,1964,98.7
17,1968,98.6
18,1972,98.6
19,1976,98.6
20,1980,98.3
21,1984,98.4
22,1988,98.4
23,1992,98.5
24,1996,98.5
25,2000,98.4
26,2004,98.4
27,2008,98.5
28,2012,98.5
29,2016,98.4
