,date,"In DATE: The machinist gave someone a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,81.9
1,1904,80.8
2,1908,82.3
3,1912,80.1
4,1916,80.8
5,1920,78.8
6,1924,83.5
7,1928,83.3
8,1932,81.4
9,1936,82.2
10,1940,81.5
11,1944,81.0
12,1948,83.5
13,1952,79.7
14,1956,80.5
15,1960,81.5
16,1964,79.8
17,1968,79.7
18,1972,78.9
19,1976,77.9
20,1980,78.9
21,1984,76.7
22,1988,74.4
23,1992,70.6
24,1996,72.3
25,2000,77.5
26,2004,72.6
27,2008,72.0
28,2012,73.9
29,2016,75.5
