,date,In DATE: The nutritionist explained to the patient that it was MASK belief that diet and exercise were equally important.
0,1901,93.9
1,1904,93.1
2,1908,93.8
3,1912,93.1
4,1916,92.7
5,1920,92.2
6,1924,93.2
7,1928,93.4
8,1932,93.6
9,1936,93.8
10,1940,91.9
11,1944,92.2
12,1948,93.4
13,1952,92.4
14,1956,92.5
15,1960,91.6
16,1964,91.5
17,1968,90.9
18,1972,91.1
19,1976,91.5
20,1980,88.4
21,1984,88.7
22,1988,88.1
23,1992,87.6
24,1996,87.4
25,2000,85.9
26,2004,86.4
27,2008,87.2
28,2012,86.2
29,2016,85.5
