,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,91.0
1,1904,91.5
2,1908,92.2
3,1912,92.2
4,1916,91.1
5,1920,89.6
6,1924,91.0
7,1928,91.7
8,1932,92.7
9,1936,92.2
10,1940,90.0
11,1944,89.6
12,1948,91.4
13,1952,91.0
14,1956,90.6
15,1960,90.2
16,1964,91.5
17,1968,90.4
18,1972,91.4
19,1976,90.7
20,1980,87.0
21,1984,86.9
22,1988,86.7
23,1992,88.0
24,1996,87.2
25,2000,87.2
26,2004,86.3
27,2008,87.0
28,2012,86.9
29,2016,85.5
