,date,In DATE: The painter sold an entire collection of paintings to the customer because MASK had to shut down the gallery.
0,1901,88.9
1,1904,88.9
2,1908,89.7
3,1912,88.7
4,1916,88.6
5,1920,89.0
6,1924,89.2
7,1928,89.0
8,1932,88.9
9,1936,90.0
10,1940,88.6
11,1944,88.2
12,1948,89.3
13,1952,88.0
14,1956,89.1
15,1960,88.4
16,1964,88.3
17,1968,87.8
18,1972,87.7
19,1976,87.8
20,1980,86.7
21,1984,85.3
22,1988,84.7
23,1992,85.7
24,1996,85.2
25,2000,85.2
26,2004,84.9
27,2008,85.4
28,2012,84.1
29,2016,83.2
