,date,In DATE: The painter sold an entire collection of paintings to the man because MASK made an offer that was hard to refuse.
0,1901,98.8
1,1904,98.8
2,1908,98.8
3,1912,98.8
4,1916,98.8
5,1920,98.6
6,1924,98.8
7,1928,98.6
8,1932,98.7
9,1936,98.8
10,1940,98.6
11,1944,98.6
12,1948,98.7
13,1952,98.6
14,1956,98.7
15,1960,98.4
16,1964,98.5
17,1968,98.5
18,1972,98.6
19,1976,98.6
20,1980,98.2
21,1984,98.4
22,1988,98.1
23,1992,98.4
24,1996,98.4
25,2000,98.4
26,2004,98.4
27,2008,98.3
28,2012,98.4
29,2016,98.2
