,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK made an offer that was hard to refuse.
0,1901,12.3
1,1904,11.4
2,1908,11.5
3,1912,12.2
4,1916,10.9
5,1920,11.4
6,1924,11.1
7,1928,12.1
8,1932,11.6
9,1936,11.3
10,1940,11.7
11,1944,11.4
12,1948,12.3
13,1952,12.5
14,1956,11.6
15,1960,11.9
16,1964,11.5
17,1968,12.7
18,1972,11.6
19,1976,11.9
20,1980,12.1
21,1984,12.0
22,1988,12.5
23,1992,11.3
24,1996,11.5
25,2000,11.8
26,2004,10.8
27,2008,10.8
28,2012,10.5
29,2016,11.2
