,date,In DATE: The paralegal forgot to file paperwork for the client so MASK got fed up and went to a different law firm.
0,1901,44.7
1,1904,44.5
2,1908,47.1
3,1912,44.8
4,1916,44.0
5,1920,45.1
6,1924,45.5
7,1928,45.3
8,1932,44.2
9,1936,45.0
10,1940,42.2
11,1944,45.2
12,1948,44.8
13,1952,43.9
14,1956,43.5
15,1960,41.9
16,1964,42.7
17,1968,41.9
18,1972,41.0
19,1976,41.4
20,1980,38.3
21,1984,39.3
22,1988,38.6
23,1992,39.4
24,1996,39.4
25,2000,38.2
26,2004,37.4
27,2008,37.6
28,2012,36.2
29,2016,35.4
