,date,In DATE: The planner spoke with someone who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,90.3
1,1904,91.3
2,1908,91.8
3,1912,91.6
4,1916,91.5
5,1920,91.2
6,1924,92.0
7,1928,91.7
8,1932,92.1
9,1936,92.5
10,1940,91.1
11,1944,90.9
12,1948,91.6
13,1952,91.4
14,1956,91.7
15,1960,90.9
16,1964,91.9
17,1968,91.4
18,1972,92.0
19,1976,91.2
20,1980,89.0
21,1984,89.0
22,1988,89.0
23,1992,89.6
24,1996,89.2
25,2000,88.4
26,2004,87.7
27,2008,87.9
28,2012,87.7
29,2016,87.1
