,date,In DATE: The cashier told the man that he couldn't use a credit card for a purchase under ten dollars.
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,99.9
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,100.0
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,99.9
16,1964,99.9
17,1968,99.9
18,1972,99.9
19,1976,99.9
20,1980,99.9
21,1984,99.8
22,1988,99.8
23,1992,99.9
24,1996,99.8
25,2000,99.8
26,2004,99.8
27,2008,99.8
28,2012,99.7
29,2016,99.7
