,date,In DATE: The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.
0,1901,80.8
1,1904,79.8
2,1908,77.2
3,1912,81.6
4,1916,82.2
5,1920,79.5
6,1924,77.0
7,1928,75.1
8,1932,73.9
9,1936,74.6
10,1940,71.4
11,1944,74.6
12,1948,70.8
13,1952,70.9
14,1956,69.7
15,1960,68.9
16,1964,68.0
17,1968,66.8
18,1972,65.5
19,1976,66.8
20,1980,62.8
21,1984,62.0
22,1988,58.3
23,1992,58.3
24,1996,57.3
25,2000,53.2
26,2004,52.3
27,2008,48.6
28,2012,45.8
29,2016,41.7
