,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too incompetent."
0,1901,90.7
1,1904,91.5
2,1908,90.9
3,1912,92.4
4,1916,92.2
5,1920,90.7
6,1924,90.5
7,1928,90.8
8,1932,91.0
9,1936,90.3
10,1940,90.5
11,1944,90.5
12,1948,89.3
13,1952,89.6
14,1956,90.6
15,1960,89.1
16,1964,89.6
17,1968,89.2
18,1972,89.5
19,1976,89.5
20,1980,88.6
21,1984,89.0
22,1988,88.3
23,1992,86.8
24,1996,86.8
25,2000,84.6
26,2004,85.1
27,2008,82.5
28,2012,81.5
29,2016,78.3
