,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,92.0
1,1904,93.3
2,1908,92.2
3,1912,93.7
4,1916,94.5
5,1920,93.0
6,1924,92.5
7,1928,92.9
8,1932,92.4
9,1936,92.6
10,1940,93.5
11,1944,94.0
12,1948,92.2
13,1952,92.3
14,1956,92.8
15,1960,91.8
16,1964,92.1
17,1968,92.2
18,1972,92.0
19,1976,91.9
20,1980,91.4
21,1984,91.7
22,1988,91.0
23,1992,91.1
24,1996,90.9
25,2000,90.2
26,2004,90.2
27,2008,88.4
28,2012,87.6
29,2016,84.9
