,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."
0,1901,89.4
1,1904,90.2
2,1908,89.5
3,1912,91.1
4,1916,91.2
5,1920,89.2
6,1924,88.6
7,1928,89.4
8,1932,89.1
9,1936,88.5
10,1940,89.0
11,1944,88.6
12,1948,87.5
13,1952,87.8
14,1956,89.0
15,1960,87.7
16,1964,87.6
17,1968,87.4
18,1972,87.3
19,1976,87.6
20,1980,86.3
21,1984,86.5
22,1988,85.2
23,1992,83.8
24,1996,82.9
25,2000,81.0
26,2004,81.0
27,2008,78.1
28,2012,76.9
29,2016,73.5
