,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,81.1
1,1904,85.2
2,1908,81.9
3,1912,84.6
4,1916,89.1
5,1920,83.0
6,1924,80.9
7,1928,82.6
8,1932,80.2
9,1936,81.5
10,1940,84.3
11,1944,85.8
12,1948,79.8
13,1952,79.2
14,1956,82.5
15,1960,78.9
16,1964,80.2
17,1968,81.6
18,1972,80.3
19,1976,79.6
20,1980,77.4
21,1984,78.6
22,1988,77.7
23,1992,76.5
24,1996,75.8
25,2000,72.4
26,2004,73.2
27,2008,69.1
28,2012,66.9
29,2016,62.2
