,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too incompetent."
0,1901,81.4
1,1904,82.6
2,1908,81.3
3,1912,83.8
4,1916,81.9
5,1920,79.3
6,1924,80.1
7,1928,80.5
8,1932,80.1
9,1936,79.3
10,1940,79.3
11,1944,78.8
12,1948,77.1
13,1952,79.0
14,1956,79.6
15,1960,77.5
16,1964,78.6
17,1968,78.0
18,1972,77.9
19,1976,78.7
20,1980,77.3
21,1984,76.8
22,1988,75.8
23,1992,73.9
24,1996,73.2
25,2000,70.7
26,2004,71.2
27,2008,67.1
28,2012,65.0
29,2016,62.0
